City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Barrow,US,2021-04-21 07:25:13,71.2906,-156.7887,14.0,85,75,6.91
68,Talnakh,RU,2021-04-21 07:25:14,69.4865,88.3972,10.87,80,100,3.27
69,Saskylakh,RU,2021-04-21 07:25:14,71.9167,114.0833,10.04,83,94,4.92
70,Carnarvon,AU,2021-04-21 07:25:15,-24.8667,113.6333,82.4,54,100,13.8
71,Bethel,US,2021-04-21 07:25:15,41.3712,-73.414,46.99,76,1,3.44
72,Kidal,ML,2021-04-21 07:25:15,18.4411,1.4078,82.6,6,0,14.07
73,Ostersund,SE,2021-04-21 07:25:16,63.1792,14.6357,35.01,100,90,12.66
74,Raga,SS,2021-04-21 07:25:16,8.4596,25.678,86.09,44,100,8.01
75,Arraial Do Cabo,BR,2021-04-21 07:25:17,-22.9661,-42.0278,72.93,81,82,26.02
76,Malakal,SS,2021-04-21 07:25:17,9.5334,31.6605,93.88,34,54,10.13
77,Busselton,AU,2021-04-21 07:25:17,-33.65,115.3333,69.01,80,0,5.01
78,Ngunguru,NZ,2021-04-21 07:25:18,-35.6167,174.5,63.0,87,4,3.0
79,Tiksi,RU,2021-04-21 07:25:18,71.6872,128.8694,17.98,93,100,12.06
80,Omboue,GA,2021-04-21 07:25:18,-1.5746,9.2618,79.7,85,100,5.3
81,Alofi,NU,2021-04-21 07:25:19,-19.0595,-169.9187,77.0,100,55,2.3
82,Moerai,PF,2021-04-21 07:23:09,-22.4333,-151.3333,76.8,74,57,24.43
83,Chuy,UY,2021-04-21 07:25:20,-33.6971,-53.4616,66.52,72,0,11.86
84,Provideniya,RU,2021-04-21 07:25:20,64.3833,-173.3,32.0,59,0,6.71
85,Sterling,US,2021-04-21 07:25:20,39.0062,-77.4286,60.01,55,1,8.05
86,San Alberto,CO,2021-04-21 07:25:21,7.7611,-73.3922,74.25,79,97,4.14
87,Vanimo,PG,2021-04-21 07:25:21,-2.6741,141.3028,82.8,73,100,6.08
88,Palana,RU,2021-04-21 07:25:22,59.1167,159.9667,31.12,91,100,5.91
89,Mayo,US,2021-04-21 07:25:22,38.8876,-76.5119,60.01,72,40,8.05
90,Waterloo,CA,2021-04-21 07:21:28,43.4668,-80.5164,30.2,69,90,8.05
91,Labuhan,ID,2021-04-21 07:25:23,-6.8844,112.2051,87.15,54,10,3.53
92,Lata,PT,2021-04-21 07:25:23,40.1629,-8.3327,55.99,92,100,1.7
