City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Limpapa,PH,82.4,broken clouds,7.1197,121.9106,Woodland Resort
224,Hobyo,SO,87.21,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
225,Inhambane,MZ,80.6,light rain,-23.865,35.3833,Oceano
226,Kudahuvadhoo,MV,83.03,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
228,Tutoia,BR,77.72,overcast clouds,-2.7619,-42.2744,Pousada Guará's
229,Lufilufi,WS,75.2,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
233,Sola,VU,82.78,scattered clouds,-13.8833,167.55,Leumerus Bungalows
236,Byron Bay,AU,71.6,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
237,Cabedelo,BR,77,clear sky,-6.9811,-34.8339,Hotel Pigalle
238,Marzuq,YE,89.49,scattered clouds,14.4,46.4667,
239,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
244,Anloga,GH,89.6,scattered clouds,5.7947,0.8973,Pin Drop Hotel
247,Murud,IN,87.94,overcast clouds,18.3258,72.965,On Point Plaza
256,Sinnamary,GF,77.58,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
257,Sambava,MG,82.17,light rain,-14.2667,50.1667,Melrose
259,Bubaque,GW,78.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
260,Wattegama,LK,84.2,heavy intensity rain,6.7989,81.4808,
264,Mitsamiouli,KM,82.56,moderate rain,-11.3847,43.2844,Foyer ADM
266,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
269,Puerto Escondido,MX,77.81,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
270,Los Llanos De Aridane,ES,73.4,few clouds,28.6585,-17.9182,Valle Aridane
271,Vila Velha,BR,73.99,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
275,Karaton,ID,86,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
279,Conakry,GN,87.8,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
280,Cabinda,AO,86,scattered clouds,-5.55,12.2,Hotel Maiombe
282,Jaru,BR,71.51,scattered clouds,-10.4389,-62.4664,Hotel Paraná
283,Zabol,AF,72.14,broken clouds,32.25,67.25,
289,Gamba,GA,88.72,broken clouds,-2.65,10,
295,Kruisfontein,ZA,73.99,light rain,-34.0033,24.7314,Oyster Bay House Rental
296,Apac,UG,78.51,light rain,1.9756,32.5386,Double Duez Apac
299,Tailai,CN,70.23,overcast clouds,46.3833,123.4,Pearl Garden Hotel
301,Hami,CN,80.29,broken clouds,42.8,93.45,Laoyutang Resort
307,Bengkulu,ID,79.93,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
311,Beloha,MG,85.41,few clouds,-25.1667,45.05,
313,Oussouye,SN,77,few clouds,12.485,-16.5469,Auberge du Routard
315,Basqal,AZ,78.8,broken clouds,40.7552,48.391,Ermek Ailevi Istirahet Mekani
317,Katherine,AU,82.4,scattered clouds,-14.4667,132.2667,Pine Tree Motel
318,Marsh Harbour,BS,77.29,light rain,26.5412,-77.0636,Abaco Beach Resort
321,Celestun,MX,76.19,broken clouds,20.8667,-90.4,Posada Lilia
323,Pringsewu,ID,76.21,broken clouds,-5.3582,104.9744,Urban Style by Front One
325,Mackay,AU,75.2,broken clouds,-21.15,149.2,International Lodge Motel
326,Itarema,BR,78.17,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
327,Acapulco,MX,74.55,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
331,Farafangana,MG,78.1,overcast clouds,-22.8167,47.8333,Miarina
332,Tautira,PF,77,clear sky,-17.7333,-149.15,Pension Oaoa
334,Ciudad Bolivar,VE,75.58,broken clouds,8.1222,-63.5497,Hotel Edi
336,Kilindoni,TZ,79.57,light rain,-7.9139,39.6668,Bustani B&B
338,Hue,VN,82.4,scattered clouds,16.4667,107.6,Saigon Morin Hotel
350,Boca Do Acre,BR,71.58,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
351,Zhuhai,CN,78.01,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
353,Sao Filipe,CV,72.19,overcast clouds,14.8961,-24.4956,Tortuga B&B
354,Karratha,AU,82.51,clear sky,-20.7377,116.8463,ibis Styles Karratha
356,Wanning,CN,78.71,scattered clouds,18.8003,110.3967,Paradise Hotel
359,Pasighat,IN,87.48,clear sky,28.0667,95.3333,Siang Guest House
361,Zhangye,CN,73.06,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
362,Manavalakurichi,IN,89.6,few clouds,8.1333,77.3,Udaya Boys Hostel
365,Moerai,PF,75.85,light rain,-22.4333,-151.3333,Le Manotel
366,Kawalu,ID,73.45,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
369,Porto Novo,BJ,87.8,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
370,Bonthe,SL,86.25,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
373,Bom Jardim,BR,75.2,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
374,Opuwo,,82.78,clear sky,-18.0607,13.84,ABBA Guesthouse
377,Salalah,OM,86,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
378,Calvinia,ZA,81.07,overcast clouds,-31.4707,19.776,Die Lemoenhuis
381,Nhulunbuy,AU,80.6,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
382,Sibolga,ID,81.36,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
389,Gigmoto,PH,79.81,moderate rain,13.7796,124.39,Cj's Travellers Inn
391,Sungai Padi,TH,89.6,few clouds,6.0851,101.8766,237บอล&บาส
394,Kirakira,SB,80.15,broken clouds,-10.4544,161.9205,SanBiz Lodge
398,Carutapera,BR,76.89,overcast clouds,-1.195,-46.02,Lidera
402,Awbari,LY,84.43,broken clouds,26.5921,12.7805,فندق أوباري
